Invoice Number,Customer Name,Ship To,Date,Ship Mode,Balance Due,Item,Quantity,Rate,Amount
36258,"Aaron Bergman
Ship To","98103, Seattle,
Washington, United
States
Mar 06 2012
First Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4421",71,48.71,9.74
36259,"Aaron Bergman
Ship To","98103, Seattle,
Washington, United
States
Mar 06 2012
First Class
",Ship Mode,Balance Due,,3,330,17.94,53.82
,Jun 5,,Balance Due,,,,,,
39519,"Aaron Bergman
Ship To","76017, Arlington,
Texas, United States
Feb 19 2012
Standard Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-3078",25,25.25,5.05
36651,"Aaron Hawkins
Ship To","90004, Los Angeles,
California, United
States
May 12 2012
Standard Class
",Ship Mode,Balance Due,,"$1,676.74",4840,335.35,11.69
36652,"Aaron Hawkins
Ship To","90004, Los Angeles,
California, United
States
May 12 2012
Standard Class
",Ship Mode,Balance Due,,"Paper, Office Supplies, OFF-PA-4014",00,16.00,1.15
37425,"Aaron Hawkins
Ship To","94109, San
Francisco, California,
United States
Oct 24 2012
First Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4372",63,197.63,39.53
38460,"Aaron Hawkins
Ship To","12180, Troy, New
York, United States
Apr 21 2012
Second Class
",Ship Mode,Balance Due,,,,,
,Jun 5,,Balance Due,,,,,,
40100,"Aaron Hawkins
Ship To","10035, New York City,
New York, United
States
Dec 30 2012
First Class
",Ship Mode,Balance Due,,"Accessories, Technology, TEC-AC-6340",31,104.31,8.22
40101,"Aaron Hawkins
Ship To","10035, New York City,
New York, United
States
Dec 30 2012
First Class
",Ship Mode,Balance Due,,3,51,18.90,56.70
47905,"Aaron Hawkins
Ship To","Kamina, Katanga,
Democratic Republic
of the Congo
Sep 13 2012
First Class
",Ship Mode,Balance Due,,,,,
4820,"Aaron Hawkins
Ship To","Saltillo, Coahuila,
Mexico
Dec 08 2012
First Class
",Ship Mode,Balance Due,,"$3,122.43",4861,624.49,226.63
49674,"Aaron Hawkins
Ship To","Kryvyy Rih,
Dnipropetrovs",Ship Mode,Balance Due,,,,,
6817,"Aaron Hawkins
Ship To","Villa Canales,
Guatemala,
Guatemala
Oct 23 2012
Standard Class
",Ship Mode,Balance Due,,,,,
15978,"Aaron Smayling
Ship To","Rome, Lazio, Italy
Mar 31 2012
First Class
",Ship Mode,Balance Due,,,,,
35876,"Aaron Smayling
Ship To","10035, New York City,
New York, United
States
Jul 26 2012
Standard Class
",Ship Mode,Balance Due,,11,1956,65.78,723.58
21617,"Adam Bellavance
Ship To","Denpasar, Bali,
Indonesia
May 31 2012
First Class
",Ship Mode,Balance Due,,,,,
16384,"Adam Hart
Ship To","Nottingham, England,
United Kingdom
Dec 08 2012
Standard Class
",Ship Mode,Balance Due,,,,,
30118,"Adam Hart
Ship To","Bunbury, Western
Australia, Australia
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,"$7,300.21",4560,730.02,67.18
30845,"Adam Hart
Ship To","Melton, Victoria,
Australia
Sep 11 2012
Second Class
",Ship Mode,Balance Due,,,,,
